"mlid","tid","vid"
"tid","title"
"66","Японская гравюра"
"67","Европейская гравюра XV-XVII"
"68","Модерн"
"63","Allaert Claesz"
"69","Nikolaus Stör"
"73","иллюстрация"
"74","Джон Тенниел"
"75","плакатная графика"
"82","Стейнлен, Теофиль-Александр"
"8","Хьюго Симберг"
"83","Библия Мациевского"
"84","Русская миниатюра"
"85","карикатура"
"86","Манесский кодекс"
"10","Michael Cheval (Михаил Хохлачев)"
"144","Гравюра XVIII-XIX"
"145","Густав Доре"
"147","Ян ван Эйк"
"150","Жан Гранвиль"
"151","Лукас Кранах Старший"
"386","386","101"
"387","387","101"
"388","388","85"
"388","388","150"
"388","388","101"
"388","388","104"
"389","389","150"
"389","389","101"
"390","390","150"
"390","390","101"
"391","391","150"
"391","391","101"
"392","392","150"
"392","392","101"
"393","393","104"
"396","396","101"
"53","53","105"
"53","53","193"
"53","53","101"
"397","397","150"
"397","397","101"
"398","398","85"
"398","398","150"
"398","398","101"
"398","398","104"
"461","461","145"
"399","399","150"
"399","399","101"
"399","399","104"
"400","400","150"
"400","400","101"
"401","401","150"
"401","401","101"
"402","402","150"
"402","402","101"
"403","403","150"
"403","403","101"
"404","404","150"
"404","404","101"
"405","405","150"
"405","405","101"
"461","461","106"
"406","406","150"
"406","406","104"
"407","407","150"
"407","407","101"
"408","408","150"
"408","408","104"
"409","409","150"
"409","409","101"
"409","409","104"
"461","461","104"
"410","410","150"
"410","410","101"
"410","410","104"
"520","520","123"
"411","411","206"
"413","413","151"
"412","412","151"
"412","412","67"
"414","414","152"
"28","28","149"
"415","415","144"
"415","415","233"
"415","415","97"
"287","287","97"
"416","416","234"
"416","416","97"
"416","416","193"
"424","424","154"
"412","412","97"
"417","417","151"
"417","417","123"
"417","417","119"
"417","417","112"
"418","418","151"
"418","418","123"
"418","418","119"
"418","418","112"
"418","418","149"
"419","419","153"
"411","411","149"
"364","364","112"
"417","417","149"
"420","420","153"
"420","420","151"
"420","420","123"
"420","420","119"
"420","420","112"
"421","421","151"
"421","421","123"
"421","421","119"
"421","421","112"
"422","422","154"
"254","254","88"
"423","423","154"
"423","423","123"
"423","423","119"
"423","423","112"
"423","423","149"
"424","424","123"
"424","424","119"
"424","424","112"
"424","424","149"
"425","425","155"
"359","359","126"
"426","426","139"
"426","426","232"
"426","426","98"
"426","426","97"
"426","426","190"
"427","427","67"
"427","427","232"
"428","428","23"
"428","428","98"
"429","429","156"
"430","430","156"
"430","430","97"
"431","431","156"
"431","431","97"
"431","431","110"
"430","430","110"
"432","432","156"
"432","432","97"
"432","432","110"
"433","433","97"
"433","433","110"
"433","433","169"
"439","439","100"
"434","434","157"
"434","434","100"
"441","441","160"
"435","435","157"
"442","442","160"
"442","442","100"
"443","443","160"
"443","443","100"
"444","444","161"
"445","445","112"
