entity_id,field_subfolder_value
567,video/films/.
568,video/films/mult
569,"video/films/
Clark.Larry"
570,"video/films/
Clark.Larry"
571,"video/films/
Qatsi_(trilogy_Godfrey_ Reggio)"
572,video/films/.
573,"video/films/
Battelfield - Manchuria. The Forgotten Victory"
574,"video/films/
russia_the_missing_years"
575,video/films/.
576,video/films/.
577,video/films/.
578,"video/films/
born_in_ussr/14.avi
born_in_ussr/21_1.avi
born_in_ussr"
579,video/films/.
580,video/films/Leonid_Gayday
