entity_id,field_subfolder_value
537,video/films/0_comedy
538,video/films/http://mycomp/video2/0_comedy
539,video/films/S
540,video/films/0_comedy
541,video/films/0_documental
542,video
543,"video/video_opera/full/Mozart_Don_Giovanni_2001_Zurich_Flimm/don giovanni 1"
544,"video/films/Z/Звезды русского авангарда/."
545,video/films/O/.
546,video/films/V/.
547,video/films/P/.
548,video/films/L
549,video/films/A
550,video/films/R
551,"video/films/P/1988 - Point de fuite"
552,video/films/G
553,"video/films/M/Most people live in China"
554,video/films/G/Leonid_Gayday
555,video/films/G/Leonid_Gayday
556,video/films/G/Leonid_Gayday
557,video/films/F/fight_club
558,video/films/B
559,video/films/0_convert_films
560,video/films/0_convert_films
561,video/films/A
562,video/films/A/Les.Aventuriers_DUB_1.45
563,video/films/0_comedy
564,video/films/0_comedy
565,video/films/0_comedy
566,video/films/0_comedy/kin-dza-dza
